"length_min","length_max","gravy_min","gravy_max","n_valid_total","n_invalid_total","detection_rate_valid","detection_rate_invalid","enrichment"
9,20,-1.5,1,17820,43386,0.607389842877342,0.196714616377397,0.410675226499945
6,40,-1.5,1,33557,27649,0.499405160402828,0.0892099196410706,0.410195240761758
7,40,-1.5,0.4,27733,33473,0.540268489191469,0.131099811971536,0.409168677219933
9,25,-1.5,0.5,19773,41433,0.594332791797335,0.185254756919249,0.409078034878086
8,20,-1.5,0.6,18647,42559,0.600169394514582,0.191455250830554,0.408714143684028
6,30,-1.5,1,30482,30724,0.520674588121109,0.112070457853068,0.408604130268041
9,30,-1.5,0.4,21375,39831,0.58340830915556,0.175452802206306,0.407955506949254
9,35,-1.5,0.6,24513,36693,0.562051097913775,0.154188366182087,0.407862731731688
8,30,-1.2,0.6,22478,38728,0.57371057451552,0.166142760475382,0.407567814040138
9,40,-1.5,1,27304,33902,0.54114170238145,0.133575708635257,0.407565993746193
7,30,-1.5,0.3,24126,37080,0.563362254627359,0.155942578986341,0.407419675641018
8,20,-1.2,1,17908,43298,0.604059747183304,0.19673089807222,0.407328849111083
7,20,-1.5,0.8,21452,39754,0.580159238645253,0.17288456986241,0.407274668782843
8,25,-1.5,0.3,20140,41066,0.590225265719266,0.18297785653116,0.407247409188106
9,20,-1.5,0.8,17405,43801,0.607751797355872,0.200537362021862,0.40721443533401
7,30,-1.2,0.6,24203,37003,0.56106125801777,0.15385960927809,0.40720164873968
7,25,-1.5,0.4,22841,38365,0.571297570393156,0.164122816244286,0.40717475414887
8,40,-1.5,0.4,25821,35385,0.553030868843217,0.145920099087663,0.407110769755554
8,35,-1.5,0.3,23821,37385,0.566251392395723,0.159155636622831,0.407095755772892
8,35,-1.2,0.8,25227,35979,0.552420610696282,0.146753102123597,0.405667508572685
7,35,-1.5,0.3,25673,35533,0.551980934200606,0.146593123198921,0.405387811001685
8,25,-1.2,0.6,20124,41082,0.587922789832448,0.182909773973612,0.405013015858836
9,35,-1.5,0.5,23815,37391,0.565503360307861,0.160583465236602,0.404919895071259
9,25,-1.5,0.4,19134,42072,0.595537824186911,0.190806610784555,0.404731213402355
9,25,-1.2,1,19812,41394,0.589131616023015,0.184887909134012,0.404243706889003
8,20,-1.5,0.5,18172,43034,0.60036940162829,0.196130566788216,0.404238834840074
8,30,-1.2,0.5,21790,39416,0.576756137498887,0.172827614398848,0.403928523100038
9,30,-1.2,1,22348,38858,0.571856962786779,0.167946460696095,0.403910502090684
7,40,-1.2,0.8,28167,33039,0.530402183519637,0.127119277846962,0.403282905672675
6,35,-1.5,0.8,31548,29658,0.510741931936229,0.107723234955369,0.403018696980861
8,40,-1.2,1,27089,34117,0.537423857386414,0.134433073457394,0.402990783929021
9,40,-1.5,0.8,26641,34565,0.543941605064086,0.140971055789016,0.40297054927507
8,20,-1.2,0.8,17436,43770,0.603897131222086,0.201345077596447,0.40255205362564
9,20,-1.5,0.6,16764,44442,0.608061373401552,0.2060971224695,0.401964250932053
8,25,-1.2,0.5,19511,41695,0.590437074315522,0.188657698111193,0.401779376204329
9,30,-1.5,0.3,20537,40669,0.58493595995446,0.183170256851142,0.401765703103318
7,30,-1.2,0.5,23470,37736,0.563249199473548,0.161575950553957,0.401673248919591
9,25,-1.2,0.8,19301,41905,0.591186316370262,0.189578336723012,0.40160797964725
9,30,-1.2,0.8,21774,39432,0.574824260191513,0.173358884966126,0.401465375225387
6,30,-1.5,0.8,29724,31482,0.522929132169085,0.121651728391897,0.401277403777187
7,35,-1.2,0.6,25916,35290,0.545597593572765,0.144352528659549,0.401245064913216
9,35,-1.5,0.4,23008,38198,0.56854614064989,0.167380935956895,0.401165204692995
7,25,-1.2,0.6,21849,39357,0.572894996725642,0.172173589011841,0.400721407713801
